,Term Status,Class Section,Class Title,Instructor,Day,Start_Time,End_Time,Location
3236,22SOpen,MECH 3350.001,Kinematics and Dynamics of Mechanical Systems,Oziel Rios ,Monday,11:30:00,12:45:00,ECSW 1.355
3237,22SOpen,MECH 3350.001,Kinematics and Dynamics of Mechanical Systems,Oziel Rios ,Wednesday,11:30:00,12:45:00,ECSW 1.355
3238,22SFull,MECH 3351.001,Design of Mechanical Systems,Rodrigo Bernal Montoya ,Tuesday,08:30:00,09:45:00,ECSW 1.355
3239,22SFull,MECH 3351.001,Design of Mechanical Systems,Rodrigo Bernal Montoya ,Thursday,08:30:00,09:45:00,ECSW 1.355
3240,22SFull,MECH 3351.002,Design of Mechanical Systems,Rodrigo Bernal Montoya ,Tuesday,14:30:00,15:45:00,ECSW 3.250
3241,22SFull,MECH 3351.002,Design of Mechanical Systems,Rodrigo Bernal Montoya ,Thursday,14:30:00,15:45:00,ECSW 3.250
3242,22SOpen,MECH 3351.003,Design of Mechanical Systems,Dong Qian ,Monday,16:00:00,17:15:00,ECSW 1.355
3243,22SOpen,MECH 3351.003,Design of Mechanical Systems,Dong Qian ,Wednesday,16:00:00,17:15:00,ECSW 1.355
3244,22SFull,MECH 3360.001,Introduction to Materials Science,Golden Kumar ,Monday,11:30:00,12:45:00,ECSW 3.250
3245,22SFull,MECH 3360.001,Introduction to Materials Science,Golden Kumar ,Wednesday,11:30:00,12:45:00,ECSW 3.250
3246,22SOpen,MECH 3360.002,Introduction to Materials Science,Golden Kumar ,Monday,08:30:00,09:45:00,ECSW 3.250
3247,22SOpen,MECH 3360.002,Introduction to Materials Science,Golden Kumar ,Wednesday,08:30:00,09:45:00,ECSW 3.250
3248,22SFull,MECH 3v95.001,Topics in Mechanical Engineering - Materials Sci Sustainable Engy,Kyle McCall ,Tuesday,14:30:00,15:45:00,ECSW 1.355
3249,22SFull,MECH 3v95.001,Topics in Mechanical Engineering - Materials Sci Sustainable Engy,Kyle McCall ,Thursday,14:30:00,15:45:00,ECSW 1.355
3250,22SFull,MECH 3v95.002,Topics in Mechanical Engineering - Intro to Additive Manufacturin,Wei Li ,Tuesday,14:30:00,15:45:00,ECSW 1.365
3251,22SFull,MECH 3v95.002,Topics in Mechanical Engineering - Intro to Additive Manufacturin,Wei Li ,Thursday,14:30:00,15:45:00,ECSW 1.365
3252,22SOpen,MECH 4110.101,Systems and Controls Laboratory,Justin Koeln ,Tuesday,10:00:00,12:45:00,ECSW 3.325
3253,22SFull,MECH 4110.102,Systems and Controls Laboratory,Justin Koeln ,Tuesday,13:00:00,15:45:00,ECSW 3.325
3254,22SOpen,MECH 4110.103,Systems and Controls Laboratory,Justin Koeln ,Thursday,13:00:00,15:45:00,ECSW 3.325
3255,22SOpen,MECH 4110.104,Systems and Controls Laboratory,Justin Koeln ,Thursday,10:00:00,12:45:00,ECSW 3.325
3256,22SFull,MECH 4110.105,Systems and Controls Laboratory,Justin Koeln ,Thursday,16:00:00,18:45:00,ECSW 3.325
3257,22SOpen,MECH 4110.106,Systems and Controls Laboratory,Justin Koeln ,Tuesday,16:00:00,18:45:00,ECSW 3.325
3258,22SOpen,MECH 4110.201,Systems and Controls Laboratory,Justin Koeln ,Monday,09:00:00,09:50:00,ECSW 1.315
3259,22SFull,MECH 4310.001,Systems and Controls,Yaoyu Li ,Monday,10:00:00,11:15:00,ECSW 1.355
3260,22SFull,MECH 4310.001,Systems and Controls,Yaoyu Li ,Wednesday,10:00:00,11:15:00,ECSW 1.355
3261,22SFull,MECH 4310.002,Systems and Controls,Yaoyu Li ,Monday,14:30:00,15:45:00,ECSW 1.355
3262,22SFull,MECH 4310.002,Systems and Controls,Yaoyu Li ,Wednesday,14:30:00,15:45:00,ECSW 1.355
3263,22SOpen,MECH 4330.001,Intermediate Fluid Mechanics,"Diana Alatalo , Giacomo Valerio Iungo ",Monday,13:00:00,14:15:00,ECSN 2.112
3264,22SOpen,MECH 4330.001,Intermediate Fluid Mechanics,"Diana Alatalo , Giacomo Valerio Iungo ",Wednesday,13:00:00,14:15:00,ECSN 2.112
3267,22SFull,MECH 4380.001,HVAC Systems,Dani Fadda ,Tuesday,08:30:00,09:45:00,ECSW 3.250
3268,22SFull,MECH 4380.001,HVAC Systems,Dani Fadda ,Thursday,08:30:00,09:45:00,ECSW 3.250
3269,22SOpen,MECH 4382.201,Senior Design Project II,Robert Hart ,Friday,13:00:00,15:45:00,ECSW 1.315
3270,22SOpen,MECH 4v95.001,Topics in Mechanical Engineering - Soft Robotics,Yonas Tadesse ,Tuesday,10:00:00,11:15:00,ECSS 2.410
3271,22SOpen,MECH 4v95.001,Topics in Mechanical Engineering - Soft Robotics,Yonas Tadesse ,Thursday,10:00:00,11:15:00,ECSS 2.410
3272,22SOpen,MECH 5300.001,Introduction to Materials Science,Julia Hsu ,Tuesday,16:00:00,17:15:00,CB 1.219
3273,22SOpen,MECH 5300.001,Introduction to Materials Science,Julia Hsu ,Thursday,16:00:00,17:15:00,CB 1.219
3276,22SOpen,MECH 6309.001,Intermediate Dynamics,Wooram Park ,Tuesday,13:00:00,14:15:00,ECSW 3.250
3277,22SOpen,MECH 6309.001,Intermediate Dynamics,Wooram Park ,Thursday,13:00:00,14:15:00,ECSW 3.250
3287,22SOpen,MECH 6333.501,Materials Design and Manufacturing,Arif Malik ,Tuesday,17:30:00,18:45:00,ECSW 3.250
3288,22SOpen,MECH 6333.501,Materials Design and Manufacturing,Arif Malik ,Thursday,17:30:00,18:45:00,ECSW 3.250
3289,22SOpen,MECH 6334.001,Smart Materials and Structures,Yonas Tadesse ,Tuesday,16:00:00,17:15:00,ECSW 3.250
3290,22SOpen,MECH 6334.001,Smart Materials and Structures,Yonas Tadesse ,Thursday,16:00:00,17:15:00,ECSW 3.250
3291,22SFull,MECH 6337.001,Systems Engineering Architecture and Design,Samuel Reynolds ,Monday,16:00:00,18:45:00,ECSN 2.120
3292,22SOpen,MECH 6339.001,Multidisciplinary Design Optimization,Daniel Griffith ,Tuesday,16:00:00,17:15:00,ECSW 4.325
3293,22SOpen,MECH 6339.001,Multidisciplinary Design Optimization,Daniel Griffith ,Thursday,16:00:00,17:15:00,ECSW 4.325
3298,22SOpen,MECH 6353.001,Computational Mechanics,Dong Qian ,Monday,13:00:00,14:15:00,ML2 1.214
3299,22SOpen,MECH 6353.001,Computational Mechanics,Dong Qian ,Wednesday,13:00:00,14:15:00,ML2 1.214
3300,22SOpen,MECH 6357.001,Phase Transformations and Kinetic Processes in Materials,Lev Gelb ,Monday,10:00:00,11:15:00,ECSN 2.120
3301,22SOpen,MECH 6357.001,Phase Transformations and Kinetic Processes in Materials,Lev Gelb ,Wednesday,10:00:00,11:15:00,ECSN 2.120
3302,22SOpen,MECH 6368.001,Imperfections in Crystalline Solids,III Ryu ,Monday,10:00:00,11:15:00,ECSW 3.250
3303,22SOpen,MECH 6368.001,Imperfections in Crystalline Solids,III Ryu ,Wednesday,10:00:00,11:15:00,ECSW 3.250
3304,22SOpen,MECH 6371.001,Computational Thermal Fluid Science,Stefano Leonardi ,Monday,08:30:00,09:45:00,ECSW 2.325
3305,22SOpen,MECH 6371.001,Computational Thermal Fluid Science,Stefano Leonardi ,Wednesday,08:30:00,09:45:00,ECSW 2.325
3306,22SOpen,MECH 6373.001,Convective Heat Transfer,Seung You ,Tuesday,10:00:00,11:15:00,ECSN 2.126
3307,22SOpen,MECH 6373.001,Convective Heat Transfer,Seung You ,Thursday,10:00:00,11:15:00,ECSN 2.126
